Year,Population,Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Total Fertility Rate,Country name,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
2006,62828706.0,793623,391126,402497,12.7,6.2,6.5,1.53,Thailand,5.885,9.461,0.894,64.14,0.863,0.331,0.935,0.814,0.164
2007,63038247.0,797588,393255,404333,12.7,6.3,6.4,1.54,Thailand,5.784,9.508,0.889,64.48,0.87,0.391,0.898,0.832,0.18
2008,63389730.0,784256,397326,386930,12.4,6.3,6.1,1.51,Thailand,5.636,9.52,0.832,64.82,0.868,0.425,0.933,0.819,0.145
2009,63525062.0,765047,393916,371131,12.1,6.2,5.9,1.47,Thailand,5.476,9.508,0.893,65.16,0.868,0.525,0.904,0.898,0.166
2010,63878267.0,761689,411331,350358,12.0,6.5,5.5,1.49,Thailand,6.217,9.576,0.898,65.5,0.86,0.536,0.917,0.901,0.182
2011,64076033.0,795031,414670,380361,12.4,6.5,5.7,1.55,Thailand,6.664,9.579,0.884,65.72,0.927,0.4,0.923,0.934,0.117
2012,64456695.0,801737,415141,386596,12.2,6.5,5.7,1.56,Thailand,6.3,9.645,0.906,65.94,0.847,0.38,0.909,0.855,0.138
2013,64456695.0,748081,426065,322016,11.6,6.6,5.0,1.46,Thailand,6.231,9.667,0.926,66.16,0.781,0.456,0.925,0.846,0.141
2014,65124716.0,711081,435624,275457,10.9,6.7,4.2,1.41,Thailand,6.985,9.672,0.933,66.38,0.9,0.553,0.92,0.811,0.169
2015,65729098.0,736352,456391,279961,11.2,6.9,4.3,1.45,Thailand,6.202,9.699,0.866,66.6,0.885,0.316,0.914,0.91,0.174
2016,65931550.0,704058,480434,223624,10.7,7.3,3.4,1.39,Thailand,6.074,9.729,0.908,66.8,0.924,0.356,0.878,0.835,0.218
2017,66188503.0,702755,468911,233844,10.6,7.1,3.5,1.38,Thailand,5.939,9.765,0.877,67.0,0.923,0.212,0.884,0.816,0.232
2018,66413979.0,666109,473541,192568,10.0,7.1,2.9,1.36,Thailand,6.012,9.803,0.873,67.2,0.905,0.259,0.907,0.843,0.198
2019,66558935.0,618193,506211,111982,9.3,7.6,1.7,1.25,Thailand,6.022,9.824,0.903,67.4,0.898,0.309,0.877,0.843,0.208
2020,66186727.0,587368,501438,85930,8.9,7.6,1.3,1.18,Thailand,5.885,9.769,0.867,67.6,0.84,0.273,0.918,0.783,0.326
